Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Chakana, Gold of the Gods;Ecuador;Embark on a 2D metroidvania adventure that immerses players in Andean mythology, focusing on exploration, combat, and discovery. Join Hoyustus, a brave jaguar warrior, on his journey ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2782340/header.jpg?t=1725987478;Equinoxis Studios;Equinoxis Studios;Windows;7 Feb, 2024;Action, Adventure, Indie;https://store.steampowered.com/app/2782340/Chakana_Gold_of_the_Gods/;Unknown;Unknown;Unknown;Unknown;Unknown
Electronic Universe;Ecuador;Prepare yourself to shoot obstacles across a electronic musical game.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1801560/header.jpg?t=1694266591;Midi Creations;Midi Creations;Windows;11 Nov, 2021;Action;https://store.steampowered.com/app/1801560/Electronic_Universe/;Unknown;Unknown;Unknown;Unknown;Unknown
Empty Soul - S&S Edition;Ecuador;EMPTY SOUL takes you into the story of Solan Walls, a young scientist girl who suffered a terrible accident. Now she must escape from horrible nightmares. Face the fear in this horror...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/464670/header.jpg?t=1667224988;ClorithStudio;ClorithStudio;Windows;30 Jun, 2016;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/464670/Empty_Soul__SS_Edition/;Unknown;Unknown;Unknown;Unknown;Unknown
Guardian of Lore;Ecuador;A mystical library houses books of ancient folktales from lost civilizations. Play as prince Sayri, and protect these stories from wicked magic that aims to erase their memory forever...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1211740/header.jpg?t=1667070834;Round2Games;Round2Games;Windows, macOS;18 May, 2021;Action, Adventure, Indie, RPG;https://store.steampowered.com/app/1211740/Guardian_of_Lore/;Unknown;Unknown;Unknown;Unknown;Unknown
Samsa and the Knights of Light;Ecuador;BE THE HERO, OR NOT....IT'S UP TO YOU!Samsa and the Knights of Light is a RPG game, with 2D retro-style.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/371320/header.jpg?t=1667225246;ClorithStudio;Atixx, ClorithStudio;Windows;2 Dec, 2015;Adventure, Indie, RPG;https://store.steampowered.com/app/371320/Samsa_and_the_Knights_of_Light/;Unknown;Unknown;Unknown;Unknown;Unknown
Secret of The Lost Keys - Episode I: The Attack on Disred;Ecuador;A classic style 2D platfomer game where you take the role of Captain Keysis, hero of the Land of Eralia. Find your way across the levels searching the magical lost keys, collecting it...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1424500/header.jpg?t=1601960376;Jose Luis Escobar ;Jose Luis Escobar;Windows;6 Oct, 2020;Action, Adventure;https://store.steampowered.com/app/1424500/Secret_of_The_Lost_Keys__Episode_I_The_Attack_on_Disred/;Unknown;Unknown;Unknown;Unknown;Unknown
The Master Club;Ecuador;Play: - Air Hockey - Archery - Basketball - Bowling - Checkers - Chess - Football Table - Mini Golf - Pool Billiard - Rubiks Cube 2x2 - Rubiks Cube 3x3 - Solitaire - Table Tennis - Te...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/959510/header.jpg?t=1720112669;Midi Creations;Midi Creations;Windows;11 Oct, 2018;Casual, Sports;https://store.steampowered.com/app/959510/The_Master_Club/;Unknown;Unknown;Unknown;Unknown;Unknown
To Leave;Ecuador;Harm – a manic-depressive young man in possession of a magical, flying door – seeks to use an ancient, derelict technology to harvest the souls of his homeworld and send everyone ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/896340/header.jpg?t=1662652399;Freaky Creations;Freaky Creations;Windows, macOS, SteamOS + Linux;4 Oct, 2018;Adventure, Indie;https://store.steampowered.com/app/896340/To_Leave/;Unknown;Unknown;Unknown;Unknown;Unknown
Yuko and the Akuma Menace;Ecuador;Yuko and the Akuma Menace is a top-down, grid based movement, adventure, dungeon crawler game set in a ninja world of fantastic creatures and magic. Fight monsters with your kunai, sh...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1636590/header.jpg?t=1697040502;De Lucca Software;De Lucca Software;Windows;21 Dec, 2021;Action, Adventure, Casual, Indie;https://store.steampowered.com/app/1636590/Yuko_and_the_Akuma_Menace/;Unknown;Unknown;Unknown;Unknown;Unknown
despelote;Ecuador;A slice-of-life adventure about childhood and the magical grip soccer held over the people of Quito, Ecuador in 2001.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2367820/header.jpg?t=1746226795;Panic;Julián Cordero, Sebastian Valbuena;Windows;1 May, 2025;Adventure, Sports;https://store.steampowered.com/app/2367820/despelote/;Unknown;Unknown;Unknown;Unknown;Unknown
